Census,School,Category,Year,Students
20-Feb-19,Duffy Primary School,Gov,Year 4,46
20-Feb-19,Duffy Primary School,Gov,Year 5,49
20-Feb-19,Duffy Primary School,Gov,Year 6,55
20-Feb-19,Emmaus Christian School,Non Gov,Kindergarten,30
20-Feb-19,Emmaus Christian School,Non Gov,Preschool,63
20-Feb-19,Emmaus Christian School,Non Gov,Year 1,45
20-Feb-19,Emmaus Christian School,Non Gov,Year 10,16
20-Feb-19,Emmaus Christian School,Non Gov,Year 2,31
20-Feb-19,Emmaus Christian School,Non Gov,Year 3,29
20-Feb-19,Emmaus Christian School,Non Gov,Year 4,26
20-Feb-19,Emmaus Christian School,Non Gov,Year 5,28
20-Feb-19,Emmaus Christian School,Non Gov,Year 6,22
20-Feb-19,Emmaus Christian School,Non Gov,Year 7,24
20-Feb-19,Emmaus Christian School,Non Gov,Year 8,22
20-Feb-19,Emmaus Christian School,Non Gov,Year 9,17
20-Feb-19,Erindale College,Gov,Year 10,74
20-Feb-19,Erindale College,Gov,Year 11,289
20-Feb-19,Erindale College,Gov,Year 12,182
20-Feb-19,Evatt Primary School,Gov,Kindergarten,39
20-Feb-19,Evatt Primary School,Gov,Preschool,65
